date,demand
2018-11-30,38.70099999999983
2018-12-31,39.076451612903156
2019-01-31,38.64774193548373
2019-02-28,38.74607142857129
2019-03-31,38.76290322580644
2019-04-30,38.91299999999995
2019-05-31,39.03387096774185
2019-06-30,38.870999999999995
2019-07-31,38.94870967741926
2019-08-31,38.96129032258055
2019-09-30,38.674999999999955
2019-10-31,38.910967741935416
2019-11-30,39.02999999999995
2019-12-31,38.71258064516116
2020-01-31,38.94387096774183
2020-02-29,38.92448275862051
2020-03-31,38.935161290322505
2020-04-30,38.69599999999988
2020-05-31,39.10354838709671
2020-06-30,38.59399999999994
2020-07-31,38.60903225806435
2020-08-31,38.80258064516115
2020-09-30,38.76899999999984
2020-10-31,38.801924596050235
